"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C25,C19,C22,C7,C17,C3,C8,C9,C16,C15,C6,C21,C20,C18,C23";"GMC04X7R104K16NT";15;"100nF";;;
2;"S1";"SW_EG2208";1;"Switch";;;
3;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"M2";;;
4;"C11,C10,C2,C1,C12";"CAP_GMC10_CCE";5;"10uF";;;
5;"C24";"CAPC1005X60N";1;"4.7uF";;;
6;"R3,R4,R9";"RESC1005X40";3;"1k";;;
7;"R2,R1";"RESC1005X35N";2;"27.4";;;
8;"C4,C5";"CAPC1005X55N";2;"27pF";;;
9;"J13";"AMASS_XT60-M_1x02_P7.20mm_Vertical";1;"BATTERY";;;
10;"C13,C26,C14";"GMC04X5R105K16NT";3;"1uF";;;
11;"J11";"PinSocket_2x06_P2.54mm_Vertical";1;"~";;;
12;"J5";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP8266_WIFI";;;
13;"U1";"RP2040-QFN-56";1;"RP2040";;;
14;"U4";"SOT-89_STM";1;"5V Regulator";;;
15;"U7";"SOT223-3_ONS";1;"1V8 Regulator";;;
16;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"M4";;;
17;"SW4";"PTS 647 SN50 SMTR2 LFS";1;"UP";;;
18;"R12,R11";"RESC1005X40N";2;"10k";;;
19;"J12";"PinSocket_1x04_P2.54mm_Vertical";1;"floor";;;
20;"J1";"GCT_MEM2051-00-195-00-A";1;"MicroSD Holder";;;
21;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"M3";;;
22;"U3";"QFN40P300X300X105-24N";1;"ICM-20948";;;
23;"Y1";"XTAL_ABLS-12.000MHZ-K2-T";1;"12MHz";;;
24;"J15,J14,J17,J16";"PinSocket_1x02_P2.54mm_Vertical";4;"ESC_POW1";;;
25;"SW3";"PTS 647 SN50 SMTR2 LFS";1;"WiFi_RESET";;;
26;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"UART1";;;
27;"J4";"PinSocket_2x04_P2.54mm_Vertical";1;"CAM/SPI0";;;
28;"U2";"SOT230P700X175-4N";1;"3V3 Regulator";;;
29;"SW1,SW2";"PTS 647 SN50 SMTR2 LFS";2;"Button";;;
30;"J2";"AMPHENOL_10118193-0001LF";1;"MicroUSB Connector";;;
31;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"DEBUG";;;
32;"R10";"RESC1005X40";1;"3.3k";;;
33;"SW5";"PTS 647 SN50 SMTR2 LFS";1;"DOWN";;;
34;"U5";"SOIC_208MIL_WIN";1;"W25Q128JVSIQ TR";;;
35;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"M1";;;
36;"U6";"XCDR_VL53L4CXV0DH_1";1;"Distance Sensor";;;
